id,full_name,naturalized_or_spousal_surname,pseudonym,Genre,profession_or_qualification,additional_notes
70,Capponi Alessandro,Capon Alexandre,,Male,Merchant; banker,
94,Gondi Guidobaldo di Leonardo detto Antonio,,Gondi Antonio,Male,Merchant; banker,
127,Spina Leonardo,,,Male,Merchant; banker,
60,Antinori Camillo,Anthinory Camille,,Male,Merchant,
153,Corbinelli Jacopo,Corbinel Jacques,Corbinelli Iacopo,Male,Scholar,
63,Bini Bino,Bigni Bino,,Male,Messenger,
88,Del Bene Riccardo,d'Elbène Richard,Del Bene Ricciardo,Male,Merchant,<p>Lord of Quin&ccedil;ay.</p>
152,Giannotti Donato,,,Male,Scholar,
130,Strozzi Palla,Strossy Palla,,Male,Merchant,
74,Capponi Neri,Capon Nery,,Male,Merchant,
100,Mancini Andrea,Mancini André,,Male,Messenger,
101,Mannelli  Bernardo,Manelly Bernard,,Male,Merchant; banker,
110,Mannelli Niccolò,Manelly Nicolas,,Male,Merchant; banker,
112,Martelli Raffaello,,,Male,Merchant; banker,
115,Nasi Roberto,Nazy Robert,,Male,Merchant; banker,
117,Orlandini Piero,Orlandin Pierre,,Male,Merchant; banker,
98,Infangati Aldobrandino,Infangaty Aldobrandin,,Male,Merchant,
120,Rinuccini Tommaso,,,Male,Merchant; banker,
157,Magalotti Vincenzo,,,Male,Merchant,
158,Rinieri Luigi,Ragner Louis,,Male,Scholar,
96,Guadagni Tommaso,Gadagne Thomas,Tommaso il Magnifico,Male,Merchant; banker,"<p>He was considered the richest banker of Lyon, as the saying goes: ""riche comme Gadagne"".</p>"
129,Strozzi Filippo di Filippo,Strossy Philippe,,Male,Merchant; banker,
178,Botti Giovambattista,,,Male,Merchant,
291,Girolami Zanobi,,,Male,Merchant,
303,Naldini Domenico,,,Male,Merchant,
292,Girolami Alessandro,,,Male,Merchant,
56,Alamanni Luigi,,,Male,Scholar,
151,Del Vecchio Tommaso,,,Male,Merchant,<p>Sienese.</p>
304,Salviati Francesco,Salviaty François,,Male,Merchant,
64,Bini Giovanni Francesco,Bigni Jean-François,Bini Gianfrancesco,Male,Merchant; banker,<p>He had business in Lyon in company with his brother Piero Bini and the Strozzi family.</p>
90,Ferretti Emilio,Ferret Émile,Feretus Aemilius o Ferretti Emidio,Male,Legal scholar,<p>Pisan.</p>
155,Mannelli Giovanni,Mannelly Jean,,Male,Scholar,
300,Salviati Jacopo di Giovanni,Salviaty Jacques,Salviati Iacopo o Giacomo,Male,Merchant,
312,Salviati Piero ,Salviaty Pierre,,Male,Merchant; banker,
310,Tosinghi Giovan Battista,,Tosinghi Giambattista,Male,Merchant,
306,Salviati Giovan Battista,Salviaty Jean-Baptiste,,Male,Merchant,
313,Serristori Ludovico,,,Male,Merchant,
307,Marucelli Carlo,,,Male,Merchant,
309,Boccianti Domenico,,,Male,Merchant,
308,Boccianti Girolamo,,,Male,Merchant,
55,Alamanni Giovanni Battista,,Alamanni Giambattista,Male,Clergyman,<p>Luigi Alamanni's son.</p>
174,Medici Lorenzino de',,"Lorenzaccio or ""Bruto toscano""",Male,Scholar,<p>He killed the Duke Alessandro de' Medici.</p>
293,Mannelli Francesco di Niccolò,Mannelly François,,Male,Merchant,
198,Mannelli Girolamo,Mannelly Jerome,Mannegli Girolamo,Male,Merchant,prova elenco:
66,Brucioli Antonio,,Bruciolo Antonio,Male,Scholar,
173,Medici Giuliano de',,,Male,Clergyman,<p>Lorenzino de' Medici's brother.</p>
295,Capponi Cassandra,,Mannelli Cassandra,Female,,<p>Daughter of Lorenzo Capponi.</p>
298,Del Bene Piero,d'Élbene Pierre,,Male,Merchant,<p>Father of Albizzo Del Bene.</p>
61,Antinori Matteo,Anthinory Mathée,,Male,Merchant,
287,Buonaccorsi Costanza,,,Female,,<p>Daughter of Giuliano Buonaccorsi.</p>
71,Capponi Cappone,Capon Capon,,Male,Merchant; banker,
73,Capponi Lorenzo,Capon Laurent,,Male,Merchant; banker,<p>Baron of Cr&egrave;vacoeur.</p>
87,Del Bene Niccolò di Albertazzo,d'Elbène Nicolas,,Male,Merchant,
128,Spina Piero,,,Male,Merchant; banker,
81,Cellini Benvenuto,,,Male,Artist,<p>Goldsmith and sculptor.</p>
118,Panciatichi Bartolomeo,Painchaty Barthelemy,,Male,Merchant,
114,Nasi Guglielmo,Nazy Guillaume,,Male,Merchant; banker,
113,Martini Zenobi,Martin Zenoby,,Male,Merchant,
122,Salviati Alamanno,Salviaty Alaman,,Male,Merchant,
111,Mannelli Piero,Manelly Pierre,,Male,Merchant; banker,
148,Strozzi Giovan Battista,Strossy Jean-Baptiste,Giambattista Strozzi,Male,Scholar,
107,Mannelli Lionetta,Migliorino Lionetta,,Female,Queen's lady,
106,Mannelli Leonardo,Manelly Léonard,,Male,Merchant; banker,
99,Lottini Aspardo,Lothini Aparde,,Male,Merchant,
97,Gualterotti Roberto,,,Male,Merchant,
95,Gondi Girolamo,,,Male,Merchant; banker,
116,Nobili Geronimo de',Nobili Jerosme,,Male,Merchant,
89,Della Palla Giovanni Battista,,Della Palla Giambattista,Male,Art merchant,
59,Altoviti Bernardo,,,Male,Merchant; banker,
84,Dei Carlo,,,Male,Merchant,
83,Corsini Raffaele,Corsin Raphäel,Corsini Raffaello,Male,Merchant,
301,Salviati Jacopo di Alamanno,Salviaty Jacques,Salviati Iacopo,Male,Merchant,
108,Mannelli Luca,Manelly Luca,,Male,Courtesan,
67,Buonaccorsi Giuliano,,,Male,Courtesan,
126,Sertini Tommaso,Sertin Thomas,,Male,Merchant; banker,
54,Alamanni Costanza,Corsini Costanza,,Female,,"<p>Luigi Alamanni's daughter.</p>
<p>Raffaello Corsini's wife.</p>"
92,Ginori Zenobi,Ginory Zenoby,,Male,Merchant,
